State,Region,Ward,Total_Cases,New_Cases,Total_Deaths
MH,Pune,Aundh - Baner,3,0,1
MH,Pune,Kothrud - Bavdhan ,1,0,0
MH,Pune,Sinhagad Road ,10,0,0
MH,Pune,Warje - Karvenagar ,9,0,1
MH,Pune,Shivajinagar - Ghole Road,133,23,4
MH,Pune,Kasaba - Vishrambaugwada,127,3,6
MH,Pune,Dhankawadi - Sahakarnagar ,55,9,2
MH,Pune,Bhawani Peth ,214,19,15
MH,Pune,Bibwewadi ,31,1,2
MH,Pune,Dhole Patil Road ,160,26,3
MH,Pune,Yerwada - Kalas - Dhanori ,119,15,3
MH,Pune,Nagar Road - Wadgaon Sheri,29,3,0
MH,Pune,Wanawadi - Ramtekdi ,54,10,6
MH,Pune,Kondhwa - Yewalerwadi ,13,1,1
MH,Pune,Hadapsar - Mundhawa,30,2,5
MH,Pune,Outside Pune ,49,5,2
