State,Region,Ward,Total Cases,New Cases,Total Deaths,Total Recovered
MH,Pune,Aundh - Baner,10,0,0,5
MH,Pune,Kothrud - Bawdhan ,14,0,0,4
MH,Pune,Sinhagad Road ,70,0,0,12
MH,Pune,Warje - Karvenagar ,35,0,3,10
MH,Pune,Shivajinagar - Ghole Road,410,0,6,259
MH,Pune,Kasba - Vishrambaugwada,483,0,12,202
MH,Pune,Dhankawadi - Sahakarnagar ,205,0,11,80
MH,Pune,Bhawani Peth ,710,0,45,388
MH,Pune,Bibwewadi ,277,0,8,85
MH,Pune,Dhole Patil Road ,1019,0,16,331
MH,Pune,Yerwada - Kalas - Dhanori ,609,0,19,208
MH,Pune,Nagar Road - Vadgaonsheri,146,0,3,57
MH,Pune,Wanawadi - Ramtekadi ,231,0,13,87
MH,Pune,Kondhwa - Yewalewadi ,83,0,4,24
MH,Pune,Hadapsar - Mundhwa,130,0,9,44
MH,Pune,Outside of PMC ,187,0,12,56
