State,Region,Ward,Total Cases,New Cases,Total Deaths,Total Recovered,Total Active
MH,Pune,Aundh - Baner,296,0,0,81,211
MH,Pune,Kothrud - Bawdhan ,142,0,0,34,102
MH,Pune,Sinhagad Road ,534,0,0,181,341
MH,Pune,Warje - Karvenagar ,90,0,3,38,46
MH,Pune,Shivajinagar - Ghole Road,862,0,6,535,297
MH,Pune,Kasba - Vishrambaugwada,1086,0,12,612,422
MH,Pune,Dhankawadi - Sahakarnagar ,406,0,11,264,118
MH,Pune,Bhawani Peth ,976,0,45,718,171
MH,Pune,Bibwewadi ,617,0,8,413,170
MH,Pune,Dhole Patil Road ,1772,0,16,1417,306
MH,Pune,Yerwada - Kalas - Dhanori ,1126,0,19,759,250
MH,Pune,Nagar Road - Vadgaonsheri,398,0,3,206,177
MH,Pune,Wanawadi - Ramtekadi ,763,0,13,349,365
MH,Pune,Kondhwa - Yewalewadi ,238,0,4,115,111
MH,Pune,Hadapsar - Mundhwa,450,0,9,240,186
MH,Pune,Outside of PMC ,457,0,12,242,176
