Date,total_positive,new_positive,total_deaths,new_deaths,total_recovered,new_recovered,total_active,total_critical
19-Apr-20,677,42,50,0,55,18,396,15
20-Apr-20,739,80,50,0,68,13,449,14
21-Apr-20,758,42,52,2,87,19,464,15
22-Apr-20,831,64,56,4,122,35,594,26
23-Apr-20,876,104,60,4,130,8,701,36
24-Apr-20,980,104,64,3,146,16,770,41
25-Apr-20,1070,90,69,4,159,13,842,45
26-Apr-20,1139,72,72,5,165,6,902,44
27-Apr-20,1217,78,75,3,176,11,966,49
28-Apr-20,1339,122,79,2,203,27,1057,15
29-Apr-20,1444,93,81,2,230,27,1057,15
30-Apr-20,1518,86,85,4,274,44,1159,14
01-May-20,1611,93,91,6,325,51,1159,14
02-May-20,1718,107,94,4,378,53,1246,11
03-May-20,1817,99,101,7,433,55,1283,17
04-May-20,1878,61,107,6,483,50,1288,20
05-May-20,1943,65,111,4,535,52,1297,20
06-May-20,2029,86,118,7,587,52,1324,18
07-May-20,2146,117,125,7,671,84,1350,11
08-May-20,2245,99,136,11,732,61,1377,12
09-May-20,2380,135,140,4,828,96,1414,12
